Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2011,NBA,Western Conf Semifinals,May 2 - May 8 2011,,Dallas Mavericks (3),4,,Los Angeles Lakers (2),0
2011,NBA,Western Conf Semifinals,May 1 - May 15 2011,,Oklahoma City Thunder (4),4,,Memphis Grizzlies (8),3
2011,NBA,Eastern Conf Finals,May 15 - May 26 2011,,Miami Heat (2),4,,Chicago Bulls (1),1
2011,NBA,Western Conf Finals,May 17 - May 25 2011,,Dallas Mavericks (3),4,,Oklahoma City Thunder (4),1
2011,NBA,Finals,May 31 - Jun 12 2011,,Dallas Mavericks (3),4,,Miami Heat (2),2
2010,NBA,Eastern Conf First Round,Apr 17 - Apr 27 2010,,Cleveland Cavaliers (1),4,,Chicago Bulls (8),1
2010,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2010,,Orlando Magic (2),4,,Charlotte Bobcats (7),0
2010,NBA,Eastern Conf First Round,Apr 17 - May 2 2010,,Atlanta Hawks (3),4,,Milwaukee Bucks (6),3
2010,NBA,Eastern Conf First Round,Apr 17 - Apr 27 2010,,Boston Celtics (4),4,,Miami Heat (5),1
2010,NBA,Western Conf First Round,Apr 18 - Apr 30 2010,,Los Angeles Lakers (1),4,,Oklahoma City Thunder (8),2
2010,NBA,Western Conf First Round,Apr 18 - Apr 29 2010,,San Antonio Spurs (7),4,,Dallas Mavericks (2),2
2010,NBA,Western Conf First Round,Apr 18 - Apr 29 2010,,Phoenix Suns (3),4,,Portland Trail Blazers (6),2
2010,NBA,Western Conf First Round,Apr 17 - Apr 30 2010,,Utah Jazz (5),4,,Denver Nuggets (4),2
2010,NBA,Eastern Conf Semifinals,May 1 - May 13 2010,,Boston Celtics (4),4,,Cleveland Cavaliers (1),2
2010,NBA,Eastern Conf Semifinals,May 4 - May 10 2010,,Orlando Magic (2),4,,Atlanta Hawks (3),0
2010,NBA,Western Conf Semifinals,May 2 - May 10 2010,,Los Angeles Lakers (1),4,,Utah Jazz (5),0
2010,NBA,Western Conf Semifinals,May 3 - May 9 2010,,Phoenix Suns (3),4,,San Antonio Spurs (7),0
2010,NBA,Western Conf Finals,May 17 - May 29 2010,,Los Angeles Lakers (1),4,,Phoenix Suns (3),2
2010,NBA,Eastern Conf Finals,May 16 - May 28 2010,,Boston Celtics (4),4,,Orlando Magic (2),2
2010,NBA,Finals,Jun 3 - Jun 17 2010,,Los Angeles Lakers (1),4,,Boston Celtics (4),3
2009,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2009,,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0
2009,NBA,Eastern Conf First Round,Apr 18 - May 2 2009,,Boston Celtics (2),4,,Chicago Bulls (7),3
2009,NBA,Eastern Conf First Round,Apr 19 - Apr 30 2009,,Orlando Magic (3),4,,Philadelphia 76ers (6),2
2009,NBA,Eastern Conf First Round,Apr 19 - May 3 2009,,Atlanta Hawks (4),4,,Miami Heat (5),3
2009,NBA,Western Conf First Round,Apr 19 - Apr 27 2009,,Los Angeles Lakers (1),4,,Utah Jazz (8),1
